Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/healthz,10,0,120,123.81598759675398,96.03329200763255,189.9506250047125,15.0,0.20436736387040652,0.0,120,120,140,150,190,190,190,190,190,190,190
GET,/readyz,9,0,740,917.8779213365892,383.5889169713482,1764.2795420251787,37.0,0.1839306274833659,0.0,740,980,1200,1400,1800,1800,1800,1800,1800,1800,1800
GET,/signal/{id},57,0,4400,4564.993162282024,3790.6385000096634,7290.2630000025965,13225.649122807017,1.1648939740613171,0.0,4400,4500,4900,5000,5700,5900,6100,7300,7300,7300,7300
GET,/signals/report,20,0,4400,4784.817287596525,3998.430375009775,6052.517457981594,24110.0,0.40873472774081304,0.0,4600,5100,5400,5500,6000,6100,6100,6100,6100,6100,6100
GET,/sitemap.xml,26,0,140,198.95629158082346,112.73441702360287,510.46199997654185,50670.0,0.531355146063057,0.0,150,250,260,260,330,350,510,510,510,510,510
GET,/ticker/{symbol},90,0,4700,4894.220723183955,4138.573625008576,7933.7851669988595,10393.644444444444,1.8393062748336588,0.0,4700,5000,5200,5300,5600,6200,7200,7900,7900,7900,7900
GET,[st] /,317,0,110,115.06764433634605,92.03862503636628,379.67424996895716,6602.0,6.478445434691887,0.0,110,110,120,120,130,170,250,270,380,380,380
GET,[st] /_stcore/health,200,0,110,119.61789624998346,92.2347919549793,339.59950000280514,2.0,4.0873472774081305,0.0,110,110,120,130,150,220,250,270,340,340,340
,Aggregated,729,0,110,1195.4084613748676,92.03862503636628,7933.7851669988595,7657.924554183814,14.898380826152636,0.0,110,140,300,4200,4700,5200,5700,6100,7900,7900,7900
