Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/signal/{id},2,0,4117.474791011773,4156.555729015963,4117.474791011773,4195.636667020153,12656.5,0.0482041638793591,0.0,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
GET,/signals/report,1,0,4161.278499988839,4161.278499988839,4161.278499988839,4161.278499988839,24110.0,0.02410208193967955,0.0,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
GET,/sitemap.xml,1,0,478.2183339702897,478.2183339702897,478.2183339702897,478.2183339702897,50670.0,0.02410208193967955,0.0,480,480,480,480,480,480,480,480,480,480,480
GET,/ticker/{symbol},4,0,4345.815459033474,4359.798447752837,4345.815459033474,4383.120540995151,10557.75,0.0964083277587182,0.0,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
,Aggregated,8,0,4200,3798.9752603753004,478.2183339702897,4383.120540995151,17790.5,0.1928166555174364,0.0,4300,4300,4400,4400,4400,4400,4400,4400,4400,4400,4400
